基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
021516,汇添富红利智选混合发起式C,混合型-偏股,HTFHLZXHHFQSC,HUITIANFUHONGLIZHIXUANHUNHEFAQISHIC,
021517,兴华兴利债券A,债券型-混合二级,XHXLZQA,XINGHUAXINGLIZHAIQUANA,
021518,兴华兴利债券C,债券型-混合二级,XHXLZQC,XINGHUAXINGLIZHAIQUANC,
021519,长盛中债0-3年政金债指数A,指数型-固收,CSZZ03NZJZZSA,CHANGSHENGZHONGZHAI03NIANZHENGJINZHAIZHISHUA,
021520,长盛中债0-3年政金债指数C,指数型-固收,CSZZ03NZJZZSC,CHANGSHENGZHONGZHAI03NIANZHENGJINZHAIZHISHUC,
021521,中信保诚稳鸿E,债券型-长债,ZXBCWHE,ZHONGXINBAOCHENGWENHONGE,
021523,财通价值动量混合C,混合型-灵活,CTJZDLHHC,CAITONGJIAZHIDONGLIANGHUNHEC,
021524,天弘匠心臻选混合发起A,混合型-偏股,THJXZXHHFQA,TIANHONGJIANGXINZHENXUANHUNHEFAQIA,
021525,天弘匠心臻选混合发起C,混合型-偏股,THJXZXHHFQC,TIANHONGJIANGXINZHENXUANHUNHEFAQIC,
021526,南华丰汇混合C,混合型-偏股,NHFHHHC,NANHUAFENGHUIHUNHEC,
021527,鑫元中证同业存单AAA指数7天持有期,指数型-固收,XYZZTYCDAAAZS7TCYQ,XINYUANZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOUQI,
021528,财通成长优选混合C,混合型-灵活,CTCZYXHHC,CAITONGCHENGZHANGYOUXUANHUNHEC,
021529,中信保诚至泰中短债E,债券型-中短债,ZXBCZTZDZE,ZHONGXINBAOCHENGZHITAIZHONGDUANZHAIE,
021530,路博迈安航90天持有债券A,债券型-混合一级,LBMAH90TCYZQA,LUBOMAIANHANG90TIANCHIYOUZHAIQUANA,
021531,路博迈安航90天持有债券C,债券型-混合一级,LBMAH90TCYZQC,LUBOMAIANHANG90TIANCHIYOUZHAIQUANC,
021532,天弘半导体设备指数A,指数型-股票,THBDTSBZSA,TIANHONGBANDAOTISHEBEIZHISHUA,
021533,天弘半导体设备指数C,指数型-股票,THBDTSBZSC,TIANHONGBANDAOTISHEBEIZHISHUC,
021534,华夏有色金属ETF联接D,指数型-股票,HXYSJSETFLJD,HUAXIAYOUSEJINSHUETFLIANJIED,
021535,天弘中证软件服务指数发起A,指数型-股票,THZZRJFWZSFQA,TIANHONGZHONGZHENGRUANJIANFUWUZHISHUFAQIA,
021536,天弘中证软件服务指数发起C,指数型-股票,THZZRJFWZSFQC,TIANHONGZHONGZHENGRUANJIANFUWUZHISHUFAQIC,
021537,天弘月月兴30天持有期债券A,债券型-长债,THYYX30TCYQZQA,TIANHONGYUEYUEXING30TIANCHIYOUQIZHAIQUANA,
021538,天弘月月兴30天持有期债券C,债券型-长债,THYYX30TCYQZQC,TIANHONGYUEYUEXING30TIANCHIYOUQIZHAIQUANC,
