基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
018736,景顺长城景颐裕利债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.21%,1,4
018736,景顺长城景颐裕利债券A,债券型-混合二级,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.11%,1,8
018737,景顺长城景颐裕利债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.21%,1,4
018737,景顺长城景颐裕利债券C,债券型-混合二级,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.11%,1,8
018741,万家集利债券发起式A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.18%,1,6
018742,万家集利债券发起式C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.18%,1,6
018752,天弘阿尔法优选混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.67%,1,7
018753,天弘阿尔法优选混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.67%,1,7
018756,睿远稳益增强30天持有债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.53%,1,2
018757,睿远稳益增强30天持有债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.53%,1,2
018767,汇添富稳乐回报债券发起式A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.85%,1,3
018768,汇添富稳乐回报债券发起式C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.85%,1,3
018772,南方惠享稳健添利债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.39%,1,2
018773,南方惠享稳健添利债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.39%,1,2
018837,广发养老目标2060五年持有混合发起式(FOF)A,FOF-进取型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.53%,1,2
018861,景顺长城量化港股通股票C,股票型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.55%,1,1
018861,景顺长城量化港股通股票C,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.24%,1,3
018870,银河产业动力混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,5.77%,1,5
018870,银河产业动力混合C,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,5.44%,1,7
018870,银河产业动力混合C,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.04%,1,10
018876,兴合先进制造混合发起式A,混合型-偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,3.57%,1,8
018877,兴合先进制造混合发起式C,混合型-偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,3.57%,1,8
018901,招商回报优选混合发起式A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.69%,1,1
018902,招商回报优选混合发起式C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,6.69%,1,1
018910,中欧科技成长混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,5.23%,1,7
018911,中欧科技成长混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,5.23%,1,7
018948,东方红睿满沪港深混合(LOF)C,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.59%,1,2
018948,东方红睿满沪港深混合(LOF)C,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,5.74%,1,5
018949,东方红睿华沪港深混合(LOF)C,混合型-灵活,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,4.27%,1,7
018988,博时双季益六个月持有期债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.23%,1,10
018989,博时双季益六个月持有期债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.23%,1,10
018990,兴银智选消费混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.30%,1,9
018991,兴银智选消费混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.30%,1,9
019041,浦银安盛稳健富利180天持有债券A,债券型-混合二级,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,0.20%,1,4
019041,浦银安盛稳健富利180天持有债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.15%,1,7
019042,浦银安盛稳健富利180天持有债券C,债券型-混合二级,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,0.20%,1,4
019042,浦银安盛稳健富利180天持有债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.15%,1,7
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,TSM,台积电,狭义海外AI,先进制程代工,2.89%,1,6
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,2.48%,1,10
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,GOOG,谷歌-C,狭义海外AI,AI云/大模型,2.42%,1,11
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,1.81%,1,14
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,TSM,台积电,狭义海外AI,先进制程代工,2.89%,1,6
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,2.48%,1,10
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,GOOG,谷歌-C,狭义海外AI,AI云/大模型,2.42%,1,11
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,1.81%,1,14
019079,国富招瑞优选股票A,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,2.34%,1,6
019080,国富招瑞优选股票C,股票型,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,2.34%,1,6
019110,泰康兴泰回报沪港深混合C,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.47%,1,1
019113,东财慧心优选混合发起式A,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,8.95%,1,3
019113,东财慧心优选混合发起式A,混合型-偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,7.70%,1,9
